model,fold,accuracy,roc_auc,brier,logloss,ece,kl_rel
DBN,1,,,,,,
GBN,1,,,,,,
GP,1,1.0,1.0,0.047656363463343746,0.24484820497375218,0.21673697107257237,0.4568867638566997
DBN,2,,,,,,
GBN,2,,,,,,
GP,2,0.9853658536585366,1.0,0.04880805351132298,0.2463968873128391,0.21705580547503311,1.1450907613234016
DBN,3,,,,,,
GBN,3,,,,,,
GP,3,1.0,1.0,0.04806399651662426,0.24588264280208968,0.2174969093325289,0.46056868444389515
DBN,4,,,,,,
GBN,4,,,,,,
GP,4,0.9804878048780488,1.0,0.05153604819051019,0.2534053555033687,0.22211870053770988,1.1554589317680084
DBN,5,,,,,,
GBN,5,,,,,,
GP,5,0.9853658536585366,1.0,0.05182198603039147,0.255019504186061,0.2237251075244139,1.1557295994845906
